geoName,Name,RelativePopularity,Locations,PercentageBreakdown,Rank
Texas,Which Wich,12,431,5,6
Texas,Schlotzsky's,6,330,2,8
Texas,Blimpie,1,156,0,9
Texas,Potbelly Sandwich,2,474,0,9
Utah,Jimmy Johns,93,2755,24,1
Utah,Subway,91,37540,23,2
Utah,Firehouse Subs,59,1200,15,3
Utah,Quiznos,47,500,12,4
Utah,Jersey Mikes,44,1973,11,5
Utah,Blimpie,17,156,4,6
Utah,Potbelly Sandwich,14,474,3,7
Utah,Jason's Deli,11,300,2,8
Utah,Which Wich,6,431,1,9
Utah,Schlotzsky's,2,330,0,10
Vermont,Subway,66,37540,68,1
Vermont,Quiznos,14,500,14,2
Vermont,Jimmy Johns,11,2755,11,3
Vermont,Jersey Mikes,4,1973,4,4
Vermont,Firehouse Subs,2,1200,2,5
Vermont,Blimpie,0,156,0,6
Vermont,Schlotzsky's,0,330,0,6
Vermont,Which Wich,0,431,0,6
Vermont,Potbelly Sandwich,0,474,0,6
Vermont,Jason's Deli,0,300,0,6
Virginia,Subway,60,37540,38,1
Virginia,Jimmy Johns,41,2755,26,2
Virginia,Firehouse Subs,20,1200,12,3
Virginia,Jersey Mikes,13,1973,8,4
Virginia,Quiznos,11,500,7,5
Virginia,Which Wich,5,431,3,6
Virginia,Potbelly Sandwich,2,474,1,7
Virginia,Jason's Deli,3,300,1,7
Virginia,Blimpie,0,156,0,9
Virginia,Schlotzsky's,0,330,0,9
Washington,Subway,75,37540,35,1
Washington,Jimmy Johns,70,2755,33,2
Washington,Quiznos,32,500,15,3
Washington,Jersey Mikes,19,1973,9,4
Washington,Firehouse Subs,11,1200,5,5
Washington,Blimpie,1,156,0,6
Washington,Schlotzsky's,0,330,0,6
Washington,Which Wich,0,431,0,6
Washington,Potbelly Sandwich,2,474,0,6
Washington,Jason's Deli,0,300,0,6
West Virginia,Subway,74,37540,45,1
West Virginia,Jimmy Johns,50,2755,30,2
West Virginia,Firehouse Subs,19,1200,11,3
West Virginia,Jersey Mikes,10,1973,6,4
West Virginia,Quiznos,7,500,4,5
West Virginia,Which Wich,2,431,1,6
West Virginia,Blimpie,0,156,0,7
West Virginia,Schlotzsky's,0,330,0,7
West Virginia,Potbelly Sandwich,0,474,0,7
West Virginia,Jason's Deli,0,300,0,7
Wisconsin,Jimmy Johns,79,2755,38,1
Wisconsin,Subway,73,37540,35,2
Wisconsin,Firehouse Subs,17,1200,8,3
Wisconsin,Quiznos,16,500,7,4
Wisconsin,Jersey Mikes,12,1973,5,5
Wisconsin,Blimpie,1,156,0,6
Wisconsin,Schlotzsky's,0,330,0,6
Wisconsin,Which Wich,2,431,0,6
Wisconsin,Potbelly Sandwich,2,474,0,6
Wisconsin,Jason's Deli,1,300,0,6
Wyoming,Jimmy Johns,89,2755,33,1
Wyoming,Subway,85,37540,32,2
Wyoming,Quiznos,54,500,20,3
Wyoming,Jersey Mikes,18,1973,6,4
Wyoming,Blimpie,10,156,3,5
Wyoming,Firehouse Subs,7,1200,2,6
Wyoming,Schlotzsky's,0,330,0,7
Wyoming,Which Wich,0,431,0,7
Wyoming,Potbelly Sandwich,0,474,0,7
Wyoming,Jason's Deli,0,300,0,7
